Dark  Knight  DVD	You  have  only  a  few  friends	5	The  Blockbusters
Prada  bag	You  are  competitive	3100	Claire's  Closet	BAG
Sephora  concealer	You  have  low  IQ	25	Basic  Cosmetics
Foursquare  application	You  are  well-organized	1	Foursquare  Office
Pride  and  Prejudice novel	You  are  satisfied  with  life	11	Cathy's  Classics
Walt  Disney  Records	You  are  still  young	9	Magical  Melodies	MUSIC
Minecraft	You  are  shy  and  reserved	20	Game  Dungeon
Cup  of  Joe  for  a  Joe	You  are  old	2	Can't  Fail  Cafe
Enrollment  in  Obamacare	You  are  a  Democrat	3300	Obamacare  Office
Tattoo	You  consume  alcohol	80	Tattoo  You  Studio	TATTOO
Rocky	You  rarely  smoke	9	Video  Forum
Milkshake	You  don’t  do  drugs	3	Milkshakes  for  the  Mind
Adidas  Originals  shoes	You are heterosexual female	100	Footwear  Outlet	SHOE
Support  Compassion  Int’l	You  are  cooperative	38	Compassion  Int'l  Office
Book  of  Hadith	You  are  Muslim	17	The  Bookcase
Curly  fries	You  have  high  IQ	2	Frydays  Diner	RESTAURANT
Covergirl  concealer	You  are  female	11	Maggie  MakeUp
Broadway  tickets	You  are  outgoing  &  active	95	Golden  Tickets
Starcraft  DVD	You  are  male	37	Platform  Player's
Bauhaus  art	You  are  liberal  and  artistic	20	Modern Art  Gallery	GALLERY
The  Bachelor  DVD  set	You  are  conservative	15	Showtime  Video
Hawthorne  Heights  album	Your life has been miserable	10	Metal  Musics	MUSIC
Holy  Bible	You  are  Christian	20	Books  Revisited
Fantasia’s  album	You  are  African-American	11	Rhythm  and  Blues	MUSIC
Biology  book	You  have  many  friends	194	Adams'  Book  Corner
Big  Mommas  DVD	You  do  drugs	9	Movie  Madness
Support George W. Bush Center	You  are  a  Republican	100	George  W.  Bush  Center
Mountain  bike  tickets	You  are  calm  and  relaxed	50	Fairfax  Office
Foot  Locker  sneakers	You  are  heterosexual  male	110	Sneaker  Warehouse	SHOE
Vocaloid 3	You  are  spontaneous	169	All  Ages  Gaming
Donation  to  ASPCA	You  are  white  American	100	Animal  Protection  Office
Bungie’s  games	You  consume  little  alcohol	60	Bungie  Studio
Hunger  Games  trilogy	You  are  still  single	24	Birdie's  Books	BOOK
Vampires  Everywhere  album	You  are  neurotic	14	The  Cullen's  Records	MUSIC
Tacori  ring	You  are  in  a  relationship	3000	Joanna  Fine  Jewelry	JEWELRY
Under  Armour  tank	You  smoke	35	Workout  Gears	SHIRT

